field_1,date,report_no,address,Latitude,Longitude,distance_in_ft,direction,day,collision_factor,collision_type,involved_with,vehicle_type,month,year,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_STAr,Shape_STLe
"143",2021/03/21,21-01824,"MAGNOLIA AVE and ROOSEVELT ST, Carlsbad, San Diego, United States",33.154263,-117.342827,"68",EAST,"21",Improper Turning,Head-On,Bicycle,Electric Bicycle,"3","2021","06","073","017902","06073017902","179.02",Census Tract 179.02,G5020,S,727906.00000000,77667.00000000,"+33.1518043","-117.3399517",8670360.32660000026,13551.67175500000
"146",2021/02/21,21-01156,"EL FUERTE ST and CORTE DE LA VISTA, Carlsbad, San Diego, United States",33.0943043,-117.2518124,"510",NORTH,"21",Unsafe Speed,Other,Non - Collision,Electric Bicycle,"2","2021","06","073","020033","06073020033","200.33",Census Tract 200.33,G5020,S,1645563.00000000,0.00000000,"+33.1010820","-117.2486143",17711294.06309999898,19741.65976800000
"148",2021/02/06,21-00822,"CARLSBAD BLVD and AVENIDA ENCINAS, Carlsbad, San Diego, United States",33.0918303,-117.3138019,"1500",SOUTH,"6",Unsafe Speed,Rear-End,Bicycle,Electric Bicycle,"2","2021","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"152",2021/01/30,21-00638,"EL CAMINO REAL and KELLY DR, Carlsbad, San Diego, United States",33.1524537,-117.3100736,"15",SOUTH,"30",Unsafe Speed,Hit Object,Fixed Object,Electric Bicycle,"1","2021","06","073","019811","06073019811","198.11",Census Tract 198.11,G5020,S,9839617.00000000,0.00000000,"+33.1386145","-117.2514135",105903756.06100000441,71659.23407300000
"0",2022/07/30,22-04964,"CARLSBAD BLVD and SEQUOIA AVE, Carlsbad, San Diego, United States",33.1468951,-117.3447858,"2640",SOUTH,"30",Unsafe Speed,Rear-End,Parked Motor Vehicle,Electric Bicycle,"7","2022","06","073","018000","06073018000","180",Census Tract 180,G5020,S,1287198.00000000,498824.00000000,"+33.1547915","-117.3499851",19222947.83210000023,26385.95431330000
"1",2022/07/27,22-04889,"LA COSTA AVE and VIA MONTEBELLO, Carlsbad, San Diego, United States",33.0806139,-117.2355746,"284",SOUTH,"27",Driving Under Influence,Sideswipe,Bicycle,Electric Bicycle,"7","2022","06","073","017109","06073017109","171.09",Census Tract 171.09,G5020,S,4415562.00000000,0.00000000,"+33.0779360","-117.2333360",47525155.09560000151,44006.12060400001
"2",2022/07/24,22-04793,"CARLSBAD BLVD and WALNUT AVE, Carlsbad, San Diego, United States",33.1538818,-117.3502175,"113",NORTH,"24",Improper Turning,Sideswipe,Bicycle,Electric Bicycle,"7","2022","06","073","018000","06073018000","180",Census Tract 180,G5020,S,1287198.00000000,498824.00000000,"+33.1547915","-117.3499851",19222947.83210000023,26385.95431330000
"4",2022/07/19,22-04682,"OCEAN ST and GRAND AVE, Carlsbad, San Diego, United States",33.1584411,-117.3534498,"0",Not Stated,"19",Unknown,Other,Non - Collision,Electric Bicycle,"7","2022","06","073","018000","06073018000","180",Census Tract 180,G5020,S,1287198.00000000,498824.00000000,"+33.1547915","-117.3499851",19222947.83210000023,26385.95431330000
"5",2022/07/11,22-04498,"TAMARACK AVE and COASTAL RAIL TRAIL CLASS IV BIKE LANE, Carlsbad, San Diego, United States",33.1540375,-117.3448732,"226",NORTH,"11",Unsafe Speed,Rear-End,Bicycle,Electric Bicycle,"7","2022","06","073","017902","06073017902","179.02",Census Tract 179.02,G5020,S,727906.00000000,77667.00000000,"+33.1518043","-117.3399517",8670360.32660000026,13551.67175500000
"8",2022/07/01,22-04299,"EL CAMINO REAL and LA COSTA AVE, Carlsbad, San Diego, United States",33.0853092,-117.2685925,"813",NORTH,"1",,Broadside,Bicycle,Electric Bicycle,"7","2022","06","073","017601","06073017601","176.01",Census Tract 176.01,G5020,S,7999055.00000000,727228.00000000,"+33.0821964","-117.2792132",93921783.53529998660,41085.80053170000
"10",2022/06/29,22-04226,"JEFFERSON ST and MARRON RD, Carlsbad, San Diego, United States",33.1767938,-117.3311118,"475",WEST,"29",Unsafe Speed,Hit Object,Fixed Object,Electric Bicycle,"6","2022","06","073","017801","06073017801","178.01",Census Tract 178.01,G5020,S,4345848.00000000,116020.00000000,"+33.1735608","-117.3403004",48022910.33660000563,29266.65545820000
"16",2022/06/01,22-03579,"POINSETTIA LANE and ALICANTE RD, Carlsbad, San Diego, United States",33.1146847,-117.2606896,"156",WEST,"1",Other Than Driver,Overturned,Non - Collision,Electric Bicycle,"6","2022","06","073","020030","06073020030","200.30",Census Tract 200.30,G5020,S,5935321.00000000,0.00000000,"+33.1151161","-117.2578699",63882042.65519999713,35054.92352510000
"17",2022/05/24,22-03423,"TAMARACK AVE and LEVEE DR, Carlsbad, San Diego, United States",33.1744614,-117.2900097,"3",NORTH,"24",Ped R/W Violation,Vehicle - Pedestrian,Pedestrian,Electric Bicycle,"5","2022","06","073","019810","06073019810","198.10",Census Tract 198.10,G5020,S,9939023.00000000,131091.00000000,"+33.1653815","-117.2814268",108384412.53399997950,62146.02503940000
"19",2022/05/23,22-03404,"TAMARACK AVE and AMBERWOOD CT, Carlsbad, San Diego, United States",33.1533525,-117.313119,"8",WEST,"23",Unsafe Speed,Overturned,Non - Collision,Electric Bicycle,"5","2022","06","073","017809","06073017809","178.09",Census Tract 178.09,G5020,S,1557483.00000000,0.00000000,"+33.1575414","-117.3267034",16763156.98660000041,22250.42677580000
"21",2022/05/19,22-03296,"CHESTNUT AVE and CAMEO RD, Carlsbad, San Diego, United States",33.16227,-117.322403,"300",EAST,"19",Other Improper Driving,Vehicle - Pedestrian,Pedestrian,Electric Bicycle,"5","2022","06","073","017809","06073017809","178.09",Census Tract 178.09,G5020,S,1557483.00000000,0.00000000,"+33.1575414","-117.3267034",16763156.98660000041,22250.42677580000
"24",2022/04/26,22-02716,"EL CAMINO REAL and WEST RANCH ST, Carlsbad, San Diego, United States",33.1514953,-117.3034616,"300",NORTH,"26",Unsafe Speed,Rear-End,Bicycle,Electric Bicycle,"4","2022","06","073","017810","06073017810","178.10",Census Tract 178.10,G5020,S,3429890.00000000,410586.00000000,"+33.1484786","-117.3205379",41335071.12719999999,30476.83685660000
"25",2022/04/14,22-03202,"CARLSBAD BLVD and EATON STREET, Carlsbad, San Diego, United States",33.1705926,-117.35831,"1050",SOUTH,"14",Auto R/W Violation,Other,Bicycle,Electric Bicycle,"4","2022","06","073","018102","06073018102","181.02",Census Tract 181.02,G5020,S,1234083.00000000,334546.00000000,"+33.1726793","-117.3606216",16883106.99489999935,24989.51826330000
"27",2022/03/27,22-02009,"CARLSBAD BLVD and OAK AVE, Carlsbad, San Diego, United States",33.156743,-117.3507832,"0",Not Stated,"27",Auto R/W Violation,Broadside,Bicycle,Electric Bicycle,"3","2022","06","073","018000","06073018000","180",Census Tract 180,G5020,S,1287198.00000000,498824.00000000,"+33.1547915","-117.3499851",19222947.83210000023,26385.95431330000
"28",2022/03/23,22-01918,"CARLSBAD VILLAGE DR and STATE ST, Carlsbad, San Diego, United States",33.1596101,-117.3487163,"179",WEST,"23",Improper Turning,Sideswipe,Bicycle,Electric Bicycle,"3","2022","06","073","017901","06073017901","179.01",Census Tract 179.01,G5020,S,1368630.00000000,249612.00000000,"+33.1656066","-117.3457885",17417073.34340000153,19572.17273230000
"31",2022/03/12,22-01647,"CARLSBAD BLVD and AVENIDA ENCINAS, Carlsbad, San Diego, United States",33.0918303,-117.3138019,"0",Not Stated,"12",Improper Turning,Broadside,Bicycle,Electric Bicycle,"3","2022","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"32",2022/03/11,22-01621,"1 MAVERICK WAY, Carlsbad, San Diego, United States",33.0734532,-117.2299022,"0",Not Stated,"11",Other Improper Driving,Other,Non - Collision,Electric Bicycle,"3","2022","06","073","017113","06073017113","171.13",Census Tract 171.13,G5020,S,8997980.00000000,0.00000000,"+33.0818066","-117.2107794",96845980.77670000494,57178.41559720000
"34",2022/03/01,22-01392,"2000 CHESTNUT AVENUE, Carlsbad, San Diego, United States",33.1616346,-117.3263934,"0",Not Stated,"1",Unknown,Other,Non - Collision,Electric Bicycle,"3","2022","06","073","017809","06073017809","178.09",Census Tract 178.09,G5020,S,1557483.00000000,0.00000000,"+33.1575414","-117.3267034",16763156.98660000041,22250.42677580000
"35",2022/03/01,22-01361,"CARLSBAD BLVD and CHERRY AVE, Carlsbad, San Diego, United States",33.1503334,-117.3475832,"0",Not Stated,"1",Unsafe Speed,Broadside,Bicycle,Electric Bicycle,"3","2022","06","073","018000","06073018000","180",Census Tract 180,G5020,S,1287198.00000000,498824.00000000,"+33.1547915","-117.3499851",19222947.83210000023,26385.95431330000
"36",2022/02/27,22-01303,"PALOMAR AIRPORT RD and CAMINO VIDA ROBLE, Carlsbad, San Diego, United States",33.1201098,-117.2817611,"1057",WEST,"27",Unsafe Speed,Hit Object,Fixed Object,Electric Bicycle,"2","2022","06","073","022102","06073022102","221.02",Census Tract 221.02,G5020,S,6137855.00000000,0.00000000,"+33.1138373","-117.2816125",66061980.92620000243,39907.62649880000
"37",2022/02/25,22-01247,"PARK DR and VALENCIA AVE, Carlsbad, San Diego, United States",33.144813,-117.31584,"425",WEST,"25",Unsafe Speed,Sideswipe,Bicycle,Electric Bicycle,"2","2022","06","073","017810","06073017810","178.10",Census Tract 178.10,G5020,S,3429890.00000000,410586.00000000,"+33.1484786","-117.3205379",41335071.12719999999,30476.83685660000
"38",2022/02/24,22-01225,"LA COSTA AVE and LEVANTE ST, Carlsbad, San Diego, United States",33.0822882,-117.2376428,"0",Not Stated,"24",Auto R/W Violation,Broadside,Bicycle,Electric Bicycle,"2","2022","06","073","020015","06073020015","200.15",Census Tract 200.15,G5020,S,2950161.00000000,0.00000000,"+33.0914050","-117.2387858",31752804.78339999914,41544.06013440000
"39",2022/02/24,22-01227,"CHESTNUT AVE and MONROE ST, Carlsbad, San Diego, United States",33.161634,-117.3264132,"203",WEST,"24",Improper Turning,Sideswipe,Bicycle,Electric Bicycle,"2","2022","06","073","017809","06073017809","178.09",Census Tract 178.09,G5020,S,1557483.00000000,0.00000000,"+33.1575414","-117.3267034",16763156.98660000041,22250.42677580000
"40",2022/02/20,22-01156,"EL FUERTE ST and RANCHO PANCHO, Carlsbad, San Diego, United States",33.1151935,-117.2480442,"265",SOUTH,"20",Unsafe Speed,Overturned,Non - Collision,Electric Bicycle,"2","2022","06","073","020030","06073020030","200.30",Census Tract 200.30,G5020,S,5935321.00000000,0.00000000,"+33.1151161","-117.2578699",63882042.65519999713,35054.92352510000
"41",2022/02/18,22-01122,"AVIARA PY and MIMOSA DR, Carlsbad, San Diego, United States",33.100793,-117.2715965,"102",SOUTH,"18",Wrong Side of Road,Broadside,Bicycle,Electric Bicycle,"2","2022","06","073","017808","06073017808","178.08",Census Tract 178.08,G5020,S,5187448.00000000,456098.00000000,"+33.1005787","-117.2889625",60741857.02949999273,37152.27402870000
"43",2022/02/13,22-00977,"MARRON RD and MONROE ST, Carlsbad, San Diego, United States",33.1764286,-117.3369854,"500",Not Stated,"13",Driving Under Influence,Other,Non - Collision,Electric Bicycle,"2","2022","06","073","017801","06073017801","178.01",Census Tract 178.01,G5020,S,4345848.00000000,116020.00000000,"+33.1735608","-117.3403004",48022910.33660000563,29266.65545820000
"46",2022/02/11,22-00927,"CAMINO DE LAS ONDAS and SEASCAPE DR, Carlsbad, San Diego, United States",33.1102386,-117.3074486,"14",EAST,"11",Improper Turning,Broadside,Bicycle,Electric Bicycle,"2","2022","06","073","017811","06073017811","178.11",Census Tract 178.11,G5020,S,3324088.00000000,0.00000000,"+33.1143653","-117.3081459",35777304.97360000014,25214.71734340000
"47",2022/02/09,22-00896,"PALOMAR AIRPORT RD and COLLEGE BLVD, Carlsbad, San Diego, United States",33.1241685,-117.3015176,"0",Not Stated,"9",Traffic Signals and Signs,Broadside,Bicycle,Electric Bicycle,"2","2022","06","073","022101","06073022101","221.01",Census Tract 221.01,G5020,S,12013410.00000000,509483.00000000,"+33.1364305","-117.3025918",134784069.06999999285,53434.31741590000
"48",2022/02/07,22-00834,"STATE ST and LAGUNA DR, Carlsbad, San Diego, United States",33.1652652,-117.3466418,"12",NORTH,"7",,Hit Object,Fixed Object,Electric Bicycle,"2","2022","06","073","017901","06073017901","179.01",Census Tract 179.01,G5020,S,1368630.00000000,249612.00000000,"+33.1656066","-117.3457885",17417073.34340000153,19572.17273230000
